Date,MACD_Hist
2019-03-29,1.0193
2019-03-30,4.2868
2019-03-31,5.3896
2019-04-01,7.8499
2019-04-02,53.9073
2019-04-03,84.0746
2019-04-04,95.5371
2019-04-05,103.4064
2019-04-06,104.0772
2019-04-07,105.5439
2019-04-08,103.3790
2019-04-09,89.0178
2019-04-10,83.2070
2019-04-11,54.2080
2019-04-12,32.5904
2019-04-13,14.5247
2019-04-14,5.2708
2019-04-15,-10.2674
2019-04-16,-12.6253
2019-04-17,-14.2069
2019-04-18,-13.4941
2019-04-19,-14.8840
2019-04-20,-15.3913
2019-04-21,-19.6641
2019-04-22,-17.3114
2019-04-23,-8.6453
2019-04-24,-10.1444
2019-04-25,-25.3664
2019-04-26,-29.8713
2019-04-27,-34.5413
2019-04-28,-37.0614
2019-04-29,-43.2000
2019-04-30,-41.4829
2019-05-01,-36.1317
2019-05-02,-25.6835
2019-05-03,-1.6713
2019-05-04,15.3525
2019-05-05,20.0110
2019-05-06,18.2888
2019-05-07,20.6810
2019-05-08,28.1854
2019-05-09,43.6019
2019-05-10,59.3850
2019-05-11,108.8164
2019-05-12,124.6915
2019-05-13,177.9154
2019-05-14,208.8158
2019-05-15,227.8058
2019-05-16,204.2740
2019-05-17,141.5811
2019-05-18,83.6965
2019-05-19,94.7747
2019-05-20,77.9944
2019-05-21,55.7539
2019-05-22,15.6118
2019-05-23,-1.8036
2019-05-24,-11.0595
2019-05-25,-18.0615
2019-05-26,10.4837
2019-05-27,31.2541
2019-05-28,34.3403
2019-05-29,24.2336
2019-05-30,-13.2072
2019-05-31,-23.5659
2019-06-01,-35.2683
2019-06-02,-34.8124
2019-06-03,-77.2285
2019-06-04,-132.5419
2019-06-05,-159.6631
2019-06-06,-172.3873
2019-06-07,-163.3089
2019-06-08,-158.5849
2019-06-09,-167.8729
2019-06-10,-145.4999
2019-06-11,-132.9991
2019-06-12,-105.3027
2019-06-13,-78.9838
2019-06-14,-32.9942
2019-06-15,5.5819
2019-06-16,36.5787
2019-06-17,74.9011
2019-06-18,77.7891
2019-06-19,84.0711
2019-06-20,97.5556
2019-06-21,138.9469
2019-06-22,190.6780
2019-06-23,220.6586
2019-06-24,233.2695
2019-06-25,272.9688
2019-06-26,359.4053
2019-06-27,275.9873
2019-06-28,270.7395
2019-06-29,214.0705
2019-06-30,92.4569
2019-07-01,-11.3766
2019-07-02,-70.0647
2019-07-03,-41.1098
2019-07-04,-79.3560
2019-07-05,-118.0087
2019-07-06,-125.2202
2019-07-07,-120.7414
2019-07-08,-65.3324
2019-07-09,-14.4240
2019-07-10,-16.1878
2019-07-11,-71.9241
2019-07-12,-83.1109
2019-07-13,-117.6608
2019-07-14,-214.5605
2019-07-15,-227.1560
2019-07-16,-317.4318
2019-07-17,-347.0796
2019-07-18,-289.7368
2019-07-19,-249.2732
2019-07-20,-198.0438
2019-07-21,-166.9803
2019-07-22,-156.0814
2019-07-23,-172.4762
2019-07-24,-180.8725
2019-07-25,-169.4768
2019-07-26,-156.8930
2019-07-27,-162.4764
2019-07-28,-152.4589
2019-07-29,-139.1536
2019-07-30,-117.7560
2019-07-31,-64.0759
2019-08-01,-6.3501
2019-08-02,41.6016
2019-08-03,90.0307
2019-08-04,124.4807
2019-08-05,198.3164
2019-08-06,212.9555
2019-08-07,242.8742
2019-08-08,250.3429
2019-08-09,233.5553
2019-08-10,173.1367
2019-08-11,139.9215
2019-08-12,99.9999
2019-08-13,35.4366
2019-08-14,-62.9001
2019-08-15,-107.8073
2019-08-16,-129.7695
2019-08-17,-145.6755
2019-08-18,-143.4553
2019-08-19,-96.6060
2019-08-20,-72.7630
2019-08-21,-93.9658
2019-08-22,-105.3657
2019-08-23,-88.5731
2019-08-24,-89.5607
2019-08-25,-84.6183
2019-08-26,-61.9075
2019-08-27,-55.7058
2019-08-28,-77.7179
2019-08-29,-100.6715
2019-08-30,-103.0844
2019-08-31,-97.5691
2019-09-01,-78.5628
2019-09-02,-21.4443
2019-09-03,34.9355
2019-09-04,67.1695
2019-09-05,85.3450
2019-09-06,76.7627
2019-09-07,78.6734
2019-09-08,72.0852
2019-09-09,60.1367
2019-09-10,37.2186
2019-09-11,25.4630
2019-09-12,33.8020
2019-09-13,33.1856
2019-09-14,31.1191
2019-09-15,26.5236
2019-09-16,19.3946
2019-09-17,10.1909
2019-09-18,2.2304
2019-09-19,3.0000
2019-09-20,-1.2079
2019-09-21,-15.1088
2019-09-22,-19.9836
2019-09-23,-42.4548
2019-09-24,-130.9989
2019-09-25,-182.8797
2019-09-26,-227.9955
2019-09-27,-235.3221
2019-09-28,-223.9957
2019-09-29,-212.2860
2019-09-30,-174.9065
2019-10-01,-138.4692
2019-10-02,-100.1070
2019-10-03,-75.3069
2019-10-04,-56.9989
2019-10-05,-38.7469
2019-10-06,-38.0547
2019-10-07,-9.5313
2019-10-08,12.1454
2019-10-09,54.7904
2019-10-10,83.0057
2019-10-11,81.5661
2019-10-12,83.1985
2019-10-13,82.2263
2019-10-14,85.7566
2019-10-15,75.0018
2019-10-16,57.0495
2019-10-17,51.1208
2019-10-18,40.0054
2019-10-19,34.0803
2019-10-20,49.1490
2019-10-21,57.2384
2019-10-22,50.7502
2019-10-23,11.3470
2019-10-24,-14.7911
2019-10-25,51.5490
2019-10-26,129.6510
2019-10-27,193.1823
2019-10-28,203.9421
2019-10-29,214.2460
2019-10-30,194.1744
2019-10-31,170.9280
2019-11-01,153.1979
2019-11-02,137.4093
2019-11-03,113.6058
2019-11-04,104.4948
2019-11-05,86.7509
2019-11-06,71.6726
2019-11-07,49.1126
2019-11-08,2.5367
2019-11-09,-26.1419
2019-11-10,-29.6348
2019-11-11,-51.3141
2019-11-12,-57.9391
2019-11-13,-63.1681
2019-11-14,-72.5681
2019-11-15,-86.7647
2019-11-16,-90.6299
2019-11-17,-88.1151
2019-11-18,-102.3760
2019-11-19,-109.4696
2019-11-20,-110.3071
2019-11-21,-134.6658
2019-11-22,-165.1149
2019-11-23,-171.6998
2019-11-24,-191.4126
2019-11-25,-178.6629
2019-11-26,-156.0206
2019-11-27,-108.4929
2019-11-28,-75.7816
2019-11-29,-27.7835
2019-11-30,-5.7130
2019-12-01,1.9487
2019-12-02,3.6442
2019-12-03,7.5681
2019-12-04,6.4871
2019-12-05,21.0140
2019-12-06,40.9271
2019-12-07,51.7365
2019-12-08,60.0586
2019-12-09,53.9080
2019-12-10,42.5209
2019-12-11,34.7577
2019-12-12,29.7346
2019-12-13,31.2398
2019-12-14,20.4241
2019-12-15,18.2949
2019-12-16,3.7214
2019-12-17,-20.5151
2019-12-18,9.3434
2019-12-19,21.6449
2019-12-20,32.7816
2019-12-21,36.6195
2019-12-22,62.6421
2019-12-23,65.7690
2019-12-24,62.0829
2019-12-25,54.8280
2019-12-26,48.6874
2019-12-27,46.9897
2019-12-28,48.6113
2019-12-29,52.8004
2019-12-30,44.5802
2019-12-31,34.7487
2020-01-01,27.9423
2020-01-02,7.9601
2020-01-03,19.9581
2020-01-04,27.7072
2020-01-05,32.0359
2020-01-06,59.1041
2020-01-07,98.1073
2020-01-08,111.9086
2020-01-09,99.4318
2020-01-10,110.3177
2020-01-11,99.5251
2020-01-12,97.3081
2020-01-13,85.0692
2020-01-14,116.4111
2020-01-15,129.2365
2020-01-16,122.2906
2020-01-17,121.8430
2020-01-18,113.0511
2020-01-19,85.3878
2020-01-20,57.0379
2020-01-21,39.3797
2020-01-22,19.8552
2020-01-23,-14.1667
2020-01-24,-35.5280
2020-01-25,-56.2346
2020-01-26,-51.5232
2020-01-27,-29.8518
2020-01-28,12.4907
2020-01-29,31.1231
2020-01-30,51.9940
2020-01-31,49.3152
2020-02-01,44.1595
2020-02-02,32.2078
2020-02-03,17.4324
2020-02-04,-1.9488
2020-02-05,9.3661
2020-02-06,23.0288
2020-02-07,29.8492
2020-02-08,34.4820
2020-02-09,48.6145
2020-02-10,32.3273
2020-02-11,40.5864
2020-02-12,46.6103
2020-02-13,38.0342
2020-02-14,34.1714
2020-02-15,-1.9913
2020-02-16,-27.6410
2020-02-17,-59.5774
2020-02-18,-50.8877
2020-02-19,-82.7824
2020-02-20,-101.6514
2020-02-21,-106.1575
2020-02-22,-108.0001
2020-02-23,-87.9366
2020-02-24,-91.1028
2020-02-25,-112.2857
2020-02-26,-155.5392
2020-02-27,-173.7206
2020-02-28,-185.5763
2020-02-29,-194.9116
2020-03-01,-190.4014
2020-03-02,-153.0783
2020-03-03,-131.1640
2020-03-04,-110.4420
2020-03-05,-71.3263
2020-03-06,-37.0315
2020-03-07,-28.0478
2020-03-08,-74.1451
2020-03-09,-104.3230
2020-03-10,-118.3554
2020-03-11,-116.4591
2020-03-12,-307.0010
2020-03-13,-357.7449
2020-03-14,-393.0236
2020-03-15,-377.8425
2020-03-16,-364.2543
2020-03-17,-312.2349
2020-03-18,-251.1150
2020-03-19,-142.9569
2020-03-20,-56.8220
2020-03-21,6.8239
2020-03-22,30.7236
2020-03-23,93.6043
2020-03-24,153.5585
2020-03-25,186.1876
2020-03-26,207.6739
2020-03-27,192.6128
2020-03-28,171.3190
2020-03-29,131.9895
2020-03-30,138.5225
2020-03-31,141.4318
2020-04-01,155.4066
2020-04-02,170.0411
2020-04-03,170.4587
2020-04-04,173.2260
2020-04-05,163.7095
2020-04-06,187.5477
2020-04-07,186.5998
2020-04-08,188.6654
2020-04-09,176.6567
2020-04-10,133.9164
2020-04-11,102.0906
2020-04-12,79.1190
2020-04-13,56.7961
2020-04-14,42.0899
2020-04-15,15.0753
2020-04-16,28.1973
2020-04-17,30.2996
2020-04-18,44.1698
2020-04-19,42.3216
2020-04-20,20.0249
2020-04-21,5.7192
2020-04-22,14.3407
2020-04-23,41.5371
2020-04-24,57.4997
2020-04-25,66.1591
2020-04-26,77.3429
2020-04-27,84.6934
2020-04-28,81.5861
2020-04-29,140.5196
2020-04-30,158.4657
2020-05-01,172.7469
2020-05-02,179.6404
2020-05-03,166.9025
2020-05-04,145.7013
2020-05-05,130.9560
2020-05-06,118.8948
2020-05-07,154.9787
2020-05-08,153.2701
2020-05-09,122.8777
2020-05-10,40.3360
2020-05-11,-28.8319
2020-05-12,-59.7273
2020-05-13,-48.9683
2020-05-14,-13.5725
2020-05-15,-25.7078
2020-05-16,-32.4520
2020-05-17,-20.4615
2020-05-18,-12.9381
2020-05-19,-9.3638
2020-05-20,-27.9398
2020-05-21,-70.7646
2020-05-22,-91.6568
2020-05-23,-103.3819
2020-05-24,-138.3752
2020-05-25,-145.0346
2020-05-26,-148.5192
2020-05-27,-122.5578
2020-05-28,-78.6520
2020-05-29,-58.8473
2020-05-30,-28.2832
2020-05-31,-25.7047
2020-06-01,23.1986
2020-06-02,6.9278
2020-06-03,3.6723
2020-06-04,7.1172
2020-06-05,-3.9881
2020-06-06,-10.0262
2020-06-07,-10.2803
2020-06-08,-9.7868
2020-06-09,-11.6746
2020-06-10,-7.1340
2020-06-11,-44.5542
2020-06-12,-55.8381
2020-06-13,-61.2866
2020-06-14,-71.5518
2020-06-15,-70.4036
2020-06-16,-61.0028
2020-06-17,-56.9953
2020-06-18,-57.6207
2020-06-19,-60.8116
2020-06-20,-57.3395
2020-06-21,-56.9527
2020-06-22,-29.3364
2020-06-23,-14.8670
2020-06-24,-26.4399
