Date,RSI9
2019-03-09,67.8537
2019-03-10,62.7445
2019-03-11,54.7480
2019-03-12,56.2894
2019-03-13,53.2210
2019-03-14,55.0531
2019-03-15,62.0639
2019-03-16,71.0265
2019-03-17,65.7471
2019-03-18,66.4993
2019-03-19,69.6188
2019-03-20,72.4798
2019-03-21,58.4370
2019-03-22,59.3306
2019-03-23,62.1104
2019-03-24,58.8313
2019-03-25,47.4158
2019-03-26,49.8435
2019-03-27,63.4951
2019-03-28,61.3459
2019-03-29,69.8141
2019-03-30,70.1766
2019-03-31,69.4153
2019-04-01,73.7267
2019-04-02,93.0554
2019-04-03,93.6139
2019-04-04,89.9465
2019-04-05,91.1658
2019-04-06,91.5864
2019-04-07,92.8323
2019-04-08,93.4110
2019-04-09,83.5172
2019-04-10,86.4561
2019-04-11,63.1664
2019-04-12,64.3059
2019-04-13,64.1027
2019-04-14,67.6498
2019-04-15,59.4808
2019-04-16,65.9512
2019-04-17,67.1071
2019-04-18,69.3448
2019-04-19,69.3549
2019-04-20,70.8460
2019-04-21,66.9024
2019-04-22,71.8968
2019-04-23,77.1309
2019-04-24,68.8363
2019-04-25,52.8937
2019-04-26,58.1576
2019-04-27,56.7630
2019-04-28,57.4997
2019-04-29,51.6886
2019-04-30,57.4527
2019-05-01,61.3662
2019-05-02,67.3120
2019-05-03,77.3277
2019-05-04,78.8094
2019-05-05,73.6725
2019-05-06,70.9816
2019-05-07,74.6677
2019-05-08,78.9667
2019-05-09,83.8274
2019-05-10,86.4361
2019-05-11,92.3672
2019-05-12,85.8254
2019-05-13,91.1541
2019-05-14,91.8136
2019-05-15,92.6834
2019-05-16,79.6888
2019-05-17,62.9487
2019-05-18,60.2262
2019-05-19,72.4416
2019-05-20,66.9788
2019-05-21,66.0917
2019-05-22,58.8122
2019-05-23,62.5563
2019-05-24,64.4060
2019-05-25,65.4320
2019-05-26,73.7225
2019-05-27,75.3262
2019-05-28,73.8721
2019-05-29,71.2124
2019-05-30,58.4777
2019-05-31,63.9776
2019-06-01,63.6146
2019-06-02,67.1085
2019-06-03,49.2597
2019-06-04,40.7013
2019-06-05,43.0249
2019-06-06,43.3098
2019-06-07,48.7850
2019-06-08,46.5187
2019-06-09,40.1145
2019-06-10,50.3796
2019-06-11,47.8344
2019-06-12,54.2806
2019-06-13,56.5430
2019-06-14,65.6258
2019-06-15,68.3621
2019-06-16,70.7493
