Date,SMA_8
2019-03-09,3843.0150
2019-03-10,3855.1262
2019-03-11,3863.1087
2019-03-12,3884.0375
2019-03-13,3885.0712
2019-03-14,3886.9812
2019-03-15,3893.2463
2019-03-16,3910.8825
2019-03-17,3915.6450
2019-03-18,3924.5188
2019-03-19,3942.5087
2019-03-20,3962.5475
2019-03-21,3976.8775
2019-03-22,3990.6038
2019-03-23,4000.8850
2019-03-24,3999.1600
2019-03-25,3993.5325
2019-03-26,3988.6250
2019-03-27,3991.4400
2019-03-28,3989.5363
2019-03-29,4004.8625
2019-03-30,4019.8675
2019-03-31,4032.1100
2019-04-01,4051.1575
2019-04-02,4166.3038
2019-04-03,4289.3100
2019-04-04,4396.8863
2019-04-05,4519.0288
2019-04-06,4636.6088
2019-04-07,4769.5212
2019-04-08,4911.1400
2019-04-09,5036.8200
2019-04-10,5093.1900
2019-04-11,5103.7863
2019-04-12,5122.4550
2019-04-13,5127.4888
2019-04-14,5138.4150
2019-04-15,5120.2500
2019-04-16,5112.3525
2019-04-17,5118.9550
2019-04-18,5112.7288
2019-04-19,5142.8925
2019-04-20,5173.3575
2019-04-21,5199.7225
2019-04-22,5227.9525
2019-04-23,5286.4975
2019-04-24,5316.6575
2019-04-25,5318.7925
2019-04-26,5325.7500
2019-04-27,5330.3763
2019-04-28,5332.3500
2019-04-29,5330.1000
2019-04-30,5325.5588
2019-05-01,5311.7950
2019-05-02,5321.5288
2019-05-03,5390.6275
2019-05-04,5455.0463
2019-05-05,5515.0375
2019-05-06,5570.0713
2019-05-07,5646.0963
2019-05-08,5729.4063
2019-05-09,5832.6538
2019-05-10,5942.7113
2019-05-11,6105.6525
2019-05-12,6247.8850
2019-05-13,6499.7713
2019-05-14,6774.7425
2019-05-15,7065.1838
2019-05-16,7300.0963
2019-05-17,7443.3563
2019-05-18,7553.8713
2019-05-19,7687.9038
2019-05-20,7809.2588
2019-05-21,7823.5288
2019-05-22,7783.6375
2019-05-23,7743.8425
