Date,o
2011-07-29,"{'deposit': 0.0005248723777780001, 'inhouse': 0, 'inter': 0, 'total': 0.0005248723777780001, 'withdrawal': 0}"
2011-07-30,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-07-31,"{'deposit': 0.001488561590278, 'inhouse': 0, 'inter': 0, 'total': 0.001488561590278, 'withdrawal': 0}"
2011-08-01,"{'deposit': 0.00366641914169, 'inhouse': 1.3931485710000002e-06, 'inter': 0, 'total': 0.0041212063055720005, 'withdrawal': 0.00045339401531000004}"
2011-08-02,"{'deposit': 2.8164814672000003e-05, 'inhouse': 0, 'inter': 0, 'total': 2.8164814672000003e-05, 'withdrawal': 0}"
2011-08-03,"{'deposit': 7.839167174300001e-05, 'inhouse': 0, 'inter': 0, 'total': 0.00020041217777200002, 'withdrawal': 0.00012202050602900001}"
2011-08-04,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-05,"{'deposit': 2.24409766e-05, 'inhouse': 0, 'inter': 0, 'total': 2.24409766e-05, 'withdrawal': 0}"
2011-08-06,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-07,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-08,"{'deposit': 1.0612413750000002e-06, 'inhouse': 0, 'inter': 0, 'total': 6.3993519654e-05, 'withdrawal': 6.293227827900001e-05}"
2011-08-09,"{'deposit': 3.5354477474e-05, 'inhouse': 0, 'inter': 0, 'total': 3.5354477474e-05, 'withdrawal': 0}"
2011-08-10,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-11,"{'deposit': 0.0030969463391880003, 'inhouse': 0, 'inter': 0, 'total': 0.0031672568506420002, 'withdrawal': 7.031051145300001e-05}"
2011-08-12,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 8.221669293e-05, 'withdrawal': 8.221669293e-05}"
2011-08-13,"{'deposit': 3.6896438642e-05, 'inhouse': 0, 'inter': 0, 'total': 0.00018198157896900003, 'withdrawal': 0.000145085140327}"
2011-08-14,"{'deposit': 0.000176237973956, 'inhouse': 0, 'inter': 0, 'total': 0.000321635621381, 'withdrawal': 0.000145397647424}"
