Date,o
2011-07-29,"{'deposit': 0.0037341116660360003, 'inhouse': 0, 'inter': 0, 'total': 0.0037341116660360003, 'withdrawal': 0}"
2011-07-30,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-07-31,"{'deposit': 0.010122460273470002, 'inhouse': 0, 'inter': 0, 'total': 0.010122460273470002, 'withdrawal': 0}"
2011-08-01,"{'deposit': 0.028216423010650003, 'inhouse': 1.0721542707e-05, 'inter': 0, 'total': 0.03171642301065, 'withdrawal': 0.0034892784572920004}"
2011-08-02,"{'deposit': 0.000209256653636, 'inhouse': 0, 'inter': 0, 'total': 0.000209256653636, 'withdrawal': 0}"
2011-08-03,"{'deposit': 0.000642446702561, 'inhouse': 0, 'inter': 0, 'total': 0.0016424467025610001, 'withdrawal': 0.001}"
2011-08-04,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-05,"{'deposit': 0.000143116195227, 'inhouse': 0, 'inter': 0, 'total': 0.000143116195227, 'withdrawal': 0}"
2011-08-06,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-07,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-08,"{'deposit': 8.431614142e-06, 'inhouse': 0, 'inter': 0, 'total': 0.000508431614142, 'withdrawal': 0.0005}"
2011-08-09,"{'deposit': 0.000413223140495, 'inhouse': 0, 'inter': 0, 'total': 0.000413223140495, 'withdrawal': 0}"
2011-08-10,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-11,"{'deposit': 0.022023352377522003, 'inhouse': 0, 'inter': 0, 'total': 0.022523352377522003, 'withdrawal': 0.0005}"
2011-08-12,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0.0005, 'withdrawal': 0.0005}"
2011-08-13,"{'deposit': 0.000254308873801, 'inhouse': 0, 'inter': 0, 'total': 0.001254308873801, 'withdrawal': 0.001}"
2011-08-14,"{'deposit': 0.0018181653253400002, 'inhouse': 0, 'inter': 0, 'total': 0.0033181653253400003, 'withdrawal': 0.0015}"
2011-08-15,"{'deposit': 0.032146664035125005, 'inhouse': 0, 'inter': 0, 'total': 0.032146664035125005, 'withdrawal': 0}"
2011-08-16,"{'deposit': 0, 'inhouse': 0, 'inter': 0, 'total': 0, 'withdrawal': 0}"
2011-08-17,"{'deposit': 0.0011720982860370002, 'inhouse': 0, 'inter': 0, 'total': 0.0011720982860370002, 'withdrawal': 0}"
2011-08-18,"{'deposit': 0.035302976151278004, 'inhouse': 0, 'inter': 0, 'total': 0.037302976151278006, 'withdrawal': 0.002}"
2011-08-19,"{'deposit': 0.022894491115848, 'inhouse': 0, 'inter': 0, 'total': 0.023394491115848, 'withdrawal': 0.0005}"
2011-08-20,"{'deposit': 0.0036226433007850002, 'inhouse': 0, 'inter': 0, 'total': 0.0036226433007850002, 'withdrawal': 0}"
2011-08-21,"{'deposit': 0.006441310387533001, 'inhouse': 0, 'inter': 0, 'total': 0.006441310387533001, 'withdrawal': 0}"
