Date,o.buy,o.capitulation,o.crossed,o.ma30,o.ma60
2009-03-10,0,1,0,5722585.468533543,5773042.739940926
2009-03-11,0,1,0,5688013.04857583,5838596.360764877
2009-03-12,0,1,0,5685051.722165936,5858932.62572142
2009-03-13,0,1,0,5651160.565679638,5874558.41058171
2009-03-14,0,1,0,5635170.511777143,5864595.5231111385
2009-03-15,0,1,0,5635444.008978614,5859198.01032262
2009-03-16,0,1,0,5611177.937277368,5855153.363078346
2009-03-17,0,1,0,5587085.533394326,5860261.569261842
2009-03-18,0,1,0,5573836.746801817,5864519.101792357
2009-03-19,0,1,0,5582934.566068748,5876955.14738174
2009-03-20,0,1,0,5583092.331673892,5879284.698960981
2009-03-21,0,1,0,5469325.83018077,5831633.938911805
2009-03-22,0,1,0,5446619.684460683,5824603.637391126
2009-03-23,0,1,0,5471157.931988058,5864467.633340909
2009-03-24,0,1,0,5445460.618506695,5882326.179937604
2009-03-25,0,1,0,5461249.5733249225,5813126.116832239
2009-03-26,0,1,0,5477685.667488035,5750133.001190011
2009-03-27,0,1,0,5479997.461595232,5759467.045635701
2009-03-28,0,1,0,5501132.5283107115,5777445.874025739
2009-03-29,0,1,0,5501359.597231979,5780773.290071228
2009-03-30,0,1,0,5537614.813243247,5779808.640590547
2009-03-31,0,1,0,5517261.221319322,5760066.232046776
2009-04-01,0,1,0,5507838.59286179,5731444.205710771
2009-04-02,0,1,0,5491348.953590277,5716054.666748804
2009-04-03,0,1,0,5512624.589860139,5706507.973592456
2009-04-04,0,1,0,5516563.524165612,5685662.229684393
2009-04-05,0,1,0,5537384.523015381,5694234.349430649
2009-04-06,0,1,0,5539288.877513772,5680757.4695155285
2009-04-07,0,1,0,5515461.085787416,5662173.242151679
2009-04-08,0,1,0,5518959.1396152405,5641799.246791444
2009-04-09,0,1,0,5507653.338657227,5615119.403595384
2009-04-10,0,1,0,5498315.820663688,5593164.434619757
2009-04-11,0,1,0,5502935.226993839,5593993.474579886
2009-04-12,0,1,0,5510912.329514693,5581036.447597164
2009-04-13,0,1,0,5520154.765181411,5577662.638479277
2009-04-14,0,1,0,5520402.4222519975,5577923.215615304
2009-04-15,0,1,0,5505779.098188387,5558478.517732877
2009-04-16,0,1,0,5520775.104891324,5553930.319142825
2009-04-17,0,1,0,5518571.966993569,5546204.356897694
2009-04-18,0,1,0,5524569.746415357,5553752.156242054
2009-04-19,0,1,0,5524004.456296155,5553548.393985024
2009-04-20,0,0,1,5629310.835346487,5549318.332763628
2009-04-21,0,0,0,5654699.456873259,5550659.57066697
2009-04-22,0,0,0,5641479.024713237,5556318.478350646
2009-04-23,0,0,0,5590752.093368708,5518106.355937702
2009-04-24,0,0,0,5585631.850945452,5523440.712135186
2009-04-25,0,0,0,5589416.925337671,5533551.296412853
2009-04-26,0,0,0,5597011.21607098,5538504.338833106
2009-04-27,0,0,0,5572709.3777369745,5536920.953023843
2009-04-28,0,0,0,5576352.718001455,5538856.157616716
2009-04-29,0,0,0,5589419.059152203,5563516.936197724
2009-04-30,0,0,0,5650033.1632034,5583647.192261359
2009-05-01,0,0,0,5679732.415944892,5593785.50440334
2009-05-02,0,0,0,5733384.343868036,5612366.648729156
2009-05-03,0,0,0,5715707.618815716,5614166.104337927
2009-05-04,0,0,0,5736634.7352617625,5626599.129713686
2009-05-05,0,0,0,5745726.401015373,5641555.462015376
2009-05-06,0,0,0,5785156.30944966,5662222.593481716
2009-05-07,0,0,0,5821180.499566959,5668320.792677187
2009-05-08,0,0,0,5835232.451625811,5677095.795620524
2009-05-09,0,0,0,5796510.194871078,5652081.76676415
2009-05-10,0,0,0,5755228.920036524,5626772.370350105
2009-05-11,0,0,0,5753373.889690763,5628154.558342302
2009-05-12,0,0,0,5771909.538057338,5641410.933786015
2009-05-13,0,0,0,5765139.444623247,5642647.104902329
2009-05-14,0,0,0,5788853.1556400545,5654627.788946024
2009-05-15,0,0,0,5828292.140153815,5667035.6191711
2009-05-16,0,0,0,5821789.175088076,5671282.139989699
2009-05-17,0,0,0,5843362.94012121,5680967.45355739
2009-05-18,0,0,0,5830190.369789481,5677380.05810242
2009-05-19,0,0,0,5775812.2831881065,5649908.369742131
2009-05-20,0,0,0,5776632.805211983,5702971.820279235
2009-05-21,0,0,0,5709591.122149706,5682145.289511482
2009-05-22,0,0,0,5683038.844528075,5662258.934620655
2009-05-23,0,0,0,5595955.18480918,5593353.639088944
2009-05-24,0,1,1,5569697.7850677185,5577664.818006585
2009-05-25,0,1,0,5556084.849454058,5572750.887395864
2009-05-26,0,1,0,5574269.7729437435,5585640.494507362
2009-05-27,0,0,1,5600879.878907165,5586794.6283220695
2009-05-28,0,1,1,5561259.837919186,5568806.27796032
2009-05-29,0,1,0,5525298.4786213795,5557358.7688867925
2009-05-30,0,1,0,5487918.929254052,5568976.046228725
2009-05-31,0,1,0,5482725.78821062,5581229.102077757
2009-06-01,0,1,0,5388285.6669740975,5560835.005421068
2009-06-02,0,1,0,5369797.866102846,5542752.742459281
2009-06-03,0,1,0,5318289.351119135,5527462.043190449
2009-06-04,0,1,0,5181374.489184118,5463550.445099744
2009-06-05,0,1,0,5136659.116147102,5460907.712798381
2009-06-06,0,1,0,4962828.272745887,5392004.386156423
2009-06-07,0,1,0,4801062.571346899,5318147.511486355
2009-06-08,0,1,0,4810159.188914516,5303334.691892798
2009-06-09,0,1,0,4823825.999825967,5289527.459931246
2009-06-10,0,1,0,4760028.349993012,5256701.1198418895
2009-06-11,0,1,0,4696265.100072871,5234087.319065105
2009-06-12,0,1,0,4652960.385092915,5209049.9148580795
2009-06-13,0,1,0,4555658.750185915,5172255.952912985
2009-06-14,0,1,0,4446262.6315,5137277.385826907
