Date,o
2018-02-16,"{'h': None, 'l': None, 'v': 76.24077400660127}"
2018-02-17,"{'h': None, 'l': None, 'v': 81.33521935367804}"
2018-02-18,"{'h': None, 'l': None, 'v': 82.02233050721983}"
2018-02-19,"{'h': None, 'l': None, 'v': 83.19108655821707}"
2018-02-20,"{'h': None, 'l': None, 'v': 88.41250759722173}"
2018-02-21,"{'h': None, 'l': None, 'v': 83.61258508829023}"
2018-02-22,"{'h': None, 'l': None, 'v': 79.18163286897325}"
2018-02-23,"{'h': None, 'l': None, 'v': 77.07976454638029}"
2018-02-24,"{'h': None, 'l': None, 'v': 76.34879308234997}"
2018-02-25,"{'h': None, 'l': None, 'v': 73.62035225548414}"
2018-02-26,"{'h': None, 'l': None, 'v': 75.7102537826997}"
2018-02-27,"{'h': None, 'l': None, 'v': 80.78493333062085}"
2018-02-28,"{'h': None, 'l': None, 'v': 81.38704201901857}"
2018-03-01,"{'h': None, 'l': None, 'v': 81.55594428642904}"
2018-03-02,"{'h': None, 'l': None, 'v': 84.02694399673874}"
2018-03-03,"{'h': None, 'l': None, 'v': 86.87729776196929}"
2018-03-04,"{'h': None, 'l': None, 'v': 86.06735357482013}"
2018-03-05,"{'h': None, 'l': None, 'v': 88.12376034857668}"
2018-03-06,"{'h': None, 'l': None, 'v': 84.56635192726718}"
2018-03-07,"{'h': None, 'l': None, 'v': 79.87912884970834}"
2018-03-08,"{'h': None, 'l': None, 'v': 74.42709095961824}"
2018-03-09,"{'h': None, 'l': None, 'v': 68.37721760148253}"
2018-03-10,"{'h': None, 'l': None, 'v': 70.74710894722865}"
2018-03-11,"{'h': None, 'l': None, 'v': 69.36811493432677}"
2018-03-12,"{'h': None, 'l': None, 'v': 72.40405608717495}"
2018-03-13,"{'h': None, 'l': None, 'v': 70.26340816682851}"
2018-03-14,"{'h': None, 'l': None, 'v': 67.29603027971558}"
2018-03-15,"{'h': None, 'l': None, 'v': 62.273525452619786}"
2018-03-16,"{'h': None, 'l': None, 'v': 63.696728676243254}"
2018-03-17,"{'h': None, 'l': None, 'v': 61.993808213285305}"
2018-03-18,"{'h': None, 'l': None, 'v': 58.883976614590026}"
2018-03-19,"{'h': None, 'l': None, 'v': 63.971744538943206}"
2018-03-20,"{'h': None, 'l': None, 'v': 66.29057986496909}"
2018-03-21,"{'h': None, 'l': None, 'v': 68.87854257686217}"
2018-03-22,"{'h': None, 'l': None, 'v': 66.2600843110535}"
2018-03-23,"{'h': None, 'l': None, 'v': 63.53292579946451}"
2018-03-24,"{'h': None, 'l': None, 'v': 65.93732521154487}"
