Date,SVLDW
2009-01-12,10.0
2009-01-13,
2009-01-14,61.0
2009-01-15,350.0
2009-01-16,200.0
2009-01-17,
2009-01-18,150.0
2009-01-19,775.0
2009-01-20,400.0
2009-01-21,100.0
2009-01-22,400.0
2009-01-23,400.0
2009-01-24,500.0
2009-01-25,50.0
2009-01-26,1000.0
2009-01-27,150.0
2009-01-28,
2009-01-29,600.0
2009-01-30,
2009-01-31,0.0
2009-02-01,100.0
2009-02-02,0.0
2009-02-03,69.03
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-07,300.0
2009-02-08,0.0
2009-02-09,1250.0
2009-02-10,
2009-02-11,400.0
2009-02-12,
2009-02-13,
2009-02-14,
2009-02-15,250.0
2009-02-16,1350.0
2009-02-17,
2009-02-18,
2009-02-19,750.0
2009-02-20,
2009-02-21,
2009-02-22,350.0
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,1350.0
2009-02-28,350.0
2009-03-01,
2009-03-02,
2009-03-03,300.0
2009-03-04,1100.0
2009-03-05,400.0
2009-03-06,
2009-03-07,
2009-03-08,1100.0
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,150.0
2009-03-13,750.0
2009-03-14,
2009-03-15,
2009-03-16,850.0
2009-03-17,
2009-03-18,650.0
2009-03-19,
2009-03-20,600.0
2009-03-21,
2009-03-22,350.0
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,1400.0
2009-03-27,
2009-03-28,800.0
2009-03-29,
2009-03-30,
2009-03-31,1550.0
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-04,
2009-04-05,750.0
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,
2009-04-11,350.0
2009-04-12,400.0
2009-04-13,10.0
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-18,82.51
2009-04-19,150.0
2009-04-20,700.0
2009-04-21,0.009999999999998
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-25,
2009-04-26,650.0
2009-04-27,
2009-04-28,
2009-04-29,600.0
2009-04-30,
2009-05-01,
2009-05-02,348.56
2009-05-03,15.0
2009-05-04,1450.0
2009-05-05,500.0
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-09,
2009-05-10,
2009-05-11,50.1
2009-05-12,
2009-05-13,51.0
2009-05-14,100.01
2009-05-15,0.0
2009-05-16,
2009-05-17,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-23,
2009-05-24,
2009-05-25,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,900.0
2009-05-30,
2009-05-31,
2009-06-01,0.0
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-06,
2009-06-07,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
2009-06-13,
2009-06-14,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-20,
2009-06-21,
