,Date,GTREND_BTC
0,2019-01-01,68
1,2019-01-02,90
2,2019-01-03,80
3,2019-01-04,83
4,2019-01-05,76
5,2019-01-06,65
6,2019-01-07,98
7,2019-01-08,75
8,2019-01-09,80
9,2019-01-10,100
10,2019-01-11,86
11,2019-01-12,72
12,2019-01-13,64
13,2019-01-14,77
14,2019-01-15,71
15,2019-01-16,74
16,2019-01-17,72
17,2019-01-18,63
18,2019-01-19,62
19,2019-01-20,60
20,2019-01-21,59
21,2019-01-22,64
22,2019-01-23,72
23,2019-01-24,67
24,2019-01-25,74
25,2019-01-26,65
26,2019-01-27,44
27,2019-01-28,74
28,2019-01-29,66
29,2019-01-30,72
30,2019-01-31,68
31,2019-02-01,68
32,2019-02-02,58
33,2019-02-03,55
34,2019-02-04,67
35,2019-02-05,84
36,2019-02-06,73
37,2019-02-07,65
38,2019-02-08,79
39,2019-02-09,70
40,2019-02-10,59
41,2019-02-11,68
42,2019-02-12,61
43,2019-02-13,60
44,2019-02-14,67
45,2019-02-15,57
46,2019-02-16,52
47,2019-02-17,61
48,2019-02-18,70
49,2019-02-19,84
50,2019-02-20,78
51,2019-02-21,73
52,2019-02-22,66
53,2019-02-23,71
54,2019-02-24,100
55,2019-02-25,79
56,2019-02-26,73
57,2019-02-27,61
58,2019-02-28,61
59,2019-03-01,80
60,2019-03-02,82
61,2019-03-03,72
62,2019-03-04,81
63,2019-03-05,91
64,2019-03-06,93
65,2019-03-07,100
66,2019-03-08,79
67,2019-03-09,77
68,2019-03-10,71
69,2019-03-11,81
70,2019-03-12,72
71,2019-03-13,75
72,2019-03-14,84
73,2019-03-15,87
74,2019-03-16,77
75,2019-03-17,77
76,2019-03-18,96
77,2019-03-19,93
78,2019-03-20,93
79,2019-03-21,89
80,2019-03-22,91
81,2019-03-23,70
82,2019-03-24,75
83,2019-03-25,61
84,2019-03-26,87
85,2019-03-27,83
86,2019-03-28,82
87,2019-03-29,90
88,2019-03-30,73
89,2019-03-31,73
90,2019-04-01,31
91,2019-04-02,92
92,2019-04-03,100
93,2019-04-04,66
94,2019-04-05,49
95,2019-04-06,54
96,2019-04-07,50
97,2019-04-08,51
98,2019-04-09,49
99,2019-04-10,48
100,2019-04-11,51
101,2019-04-12,40
102,2019-04-13,32
103,2019-04-14,35
104,2019-04-15,42
105,2019-04-16,44
106,2019-04-17,48
107,2019-04-18,45
108,2019-04-19,42
109,2019-04-20,36
110,2019-04-21,39
111,2019-04-22,46
112,2019-04-23,55
113,2019-04-24,44
114,2019-04-25,45
115,2019-04-26,43
116,2019-04-27,32
117,2019-04-28,32
118,2019-04-29,36
119,2019-04-30,31
120,2019-05-01,32
121,2019-05-02,30
122,2019-05-03,41
123,2019-05-04,34
124,2019-05-05,42
125,2019-05-06,36
126,2019-05-07,44
127,2019-05-08,44
128,2019-05-09,49
129,2019-05-10,51
130,2019-05-11,73
131,2019-05-12,78
132,2019-05-13,94
133,2019-05-14,100
134,2019-05-15,82
135,2019-05-16,69
136,2019-05-17,77
137,2019-05-18,54
138,2019-05-19,72
139,2019-05-20,67
140,2019-05-21,56
141,2019-05-22,61
142,2019-05-23,54
143,2019-05-24,55
144,2019-05-25,52
145,2019-05-26,55
146,2019-05-27,79
147,2019-05-28,72
148,2019-05-29,66
149,2019-05-30,67
150,2019-05-31,60
151,2019-06-01,25
152,2019-06-02,25
153,2019-06-03,25
154,2019-06-04,30
155,2019-06-05,26
156,2019-06-06,20
157,2019-06-07,24
158,2019-06-08,18
159,2019-06-09,19
160,2019-06-10,20
161,2019-06-11,22
162,2019-06-12,20
163,2019-06-13,23
164,2019-06-14,23
165,2019-06-15,27
166,2019-06-16,38
167,2019-06-17,36
168,2019-06-18,34
169,2019-06-19,28
170,2019-06-20,31
171,2019-06-21,40
172,2019-06-22,67
173,2019-06-23,44
174,2019-06-24,43
175,2019-06-25,52
176,2019-06-26,100
177,2019-06-27,80
178,2019-06-28,57
179,2019-06-29,45
180,2019-06-30,39
181,2019-07-01,100
182,2019-07-02,99
183,2019-07-03,96
184,2019-07-04,73
185,2019-07-05,76
186,2019-07-06,59
187,2019-07-07,61
188,2019-07-08,73
189,2019-07-09,91
190,2019-07-10,97
191,2019-07-11,86
192,2019-07-12,88
193,2019-07-13,65
194,2019-07-14,73
195,2019-07-15,90
196,2019-07-16,85
197,2019-07-17,85
198,2019-07-18,84
199,2019-07-19,69
200,2019-07-20,59
201,2019-07-21,60
202,2019-07-22,61
203,2019-07-23,63
204,2019-07-24,69
205,2019-07-25,62
206,2019-07-26,59
207,2019-07-27,66
208,2019-07-28,50
209,2019-07-29,61
210,2019-07-30,45
211,2019-07-31,53
212,2019-08-01,69
213,2019-08-02,71
214,2019-08-03,69
215,2019-08-04,64
216,2019-08-05,100
217,2019-08-06,91
218,2019-08-07,76
219,2019-08-08,68
220,2019-08-09,73
221,2019-08-10,60
222,2019-08-11,57
223,2019-08-12,64
224,2019-08-13,68
225,2019-08-14,81
226,2019-08-15,81
227,2019-08-16,66
228,2019-08-17,52
229,2019-08-18,54
230,2019-08-19,67
231,2019-08-20,60
232,2019-08-21,64
233,2019-08-22,60
234,2019-08-23,57
235,2019-08-24,58
236,2019-08-25,54
237,2019-08-26,52
238,2019-08-27,49
239,2019-08-28,62
240,2019-08-29,66
241,2019-08-30,42
242,2019-08-31,43
243,2019-09-01,49
244,2019-09-02,57
245,2019-09-03,60
246,2019-09-04,59
247,2019-09-05,62
248,2019-09-06,53
249,2019-09-07,54
250,2019-09-08,43
251,2019-09-09,54
252,2019-09-10,54
253,2019-09-11,47
254,2019-09-12,49
255,2019-09-13,46
256,2019-09-14,48
257,2019-09-15,45
258,2019-09-16,49
259,2019-09-17,46
260,2019-09-18,49
261,2019-09-19,54
262,2019-09-20,48
263,2019-09-21,44
264,2019-09-22,45
265,2019-09-23,55
266,2019-09-24,88
267,2019-09-25,100
268,2019-09-26,92
269,2019-09-27,71
270,2019-09-28,70
271,2019-09-29,54
272,2019-09-30,64
273,2019-10-01,59
274,2019-10-02,56
275,2019-10-03,49
276,2019-10-04,40
277,2019-10-05,38
278,2019-10-06,40
279,2019-10-07,54
280,2019-10-08,49
281,2019-10-09,52
282,2019-10-10,46
283,2019-10-11,43
284,2019-10-12,41
285,2019-10-13,39
286,2019-10-14,42
287,2019-10-15,39
288,2019-10-16,47
289,2019-10-17,38
290,2019-10-18,42
291,2019-10-19,35
292,2019-10-20,38
293,2019-10-21,38
294,2019-10-22,42
295,2019-10-23,63
296,2019-10-24,53
297,2019-10-25,59
298,2019-10-26,100
299,2019-10-27,54
300,2019-10-28,59
301,2019-10-29,55
302,2019-10-30,49
303,2019-10-31,44
304,2019-11-01,67
305,2019-11-02,60
306,2019-11-03,56
307,2019-11-04,63
308,2019-11-05,65
309,2019-11-06,66
310,2019-11-07,57
311,2019-11-08,65
312,2019-11-09,58
313,2019-11-10,50
314,2019-11-11,60
315,2019-11-12,62
316,2019-11-13,52
317,2019-11-14,59
318,2019-11-15,61
319,2019-11-16,60
320,2019-11-17,54
321,2019-11-18,57
322,2019-11-19,67
323,2019-11-20,63
324,2019-11-21,71
325,2019-11-22,90
326,2019-11-23,66
327,2019-11-24,61
328,2019-11-25,100
329,2019-11-26,74
330,2019-11-27,77
331,2019-11-28,61
332,2019-11-29,58
333,2019-11-30,58
334,2019-12-01,67
335,2019-12-02,67
336,2019-12-03,70
337,2019-12-04,72
338,2019-12-05,66
339,2019-12-06,68
340,2019-12-07,65
341,2019-12-08,61
342,2019-12-09,59
343,2019-12-10,64
344,2019-12-11,60
345,2019-12-12,66
346,2019-12-13,68
347,2019-12-14,56
348,2019-12-15,65
349,2019-12-16,71
350,2019-12-17,91
351,2019-12-18,100
352,2019-12-19,73
353,2019-12-20,69
354,2019-12-21,65
355,2019-12-22,75
356,2019-12-23,74
357,2019-12-24,56
358,2019-12-25,60
359,2019-12-26,67
360,2019-12-27,67
361,2019-12-28,71
362,2019-12-29,64
363,2019-12-30,62
364,2019-12-31,68
365,2020-01-01,55
366,2020-01-02,70
367,2020-01-03,68
368,2020-01-04,69
369,2020-01-05,60
370,2020-01-06,65
371,2020-01-07,91
372,2020-01-08,96
373,2020-01-09,73
374,2020-01-10,77
375,2020-01-11,70
376,2020-01-12,61
377,2020-01-13,60
378,2020-01-14,93
379,2020-01-15,100
380,2020-01-16,71
381,2020-01-17,78
382,2020-01-18,70
383,2020-01-19,73
384,2020-01-20,78
385,2020-01-21,71
386,2020-01-22,66
387,2020-01-23,68
388,2020-01-24,59
389,2020-01-25,58
390,2020-01-26,53
